time flux flux_err airmass flux_cor_med flux_cor_sd planets_x_med planets_x_sd
2339.7220490002073 2.945999999999893 -998.122 -0.04804231632587028 0.003495204086708944 1.3032142876883261 0.0 0.0
2339.722573999781 0.5340000000000344 -998.127 -0.054347420385044094 0.0030016143487093284 1.3034044355406411 0.0 0.0
2339.723089999985 -3.013999999999961 -998.131 -0.060508537692864996 0.003856980124597148 1.3036204872035326 0.0 0.0
2339.7236199998297 1.7689999999999095 -998.12 -0.06676817225161077 0.002466476921470624 1.3038705958367414 0.0 0.0
2339.724142999854 -0.005000000000032756 -998.126 -0.07280045930822313 0.0016022339721956033 1.3041407890550243 0.0 0.0
2339.7246670001186 0.7070000000000132 -998.128 -0.07884032461490598 0.001764419168680996 1.304439986589705 0.0 0.0
2339.7251889999025 2.5370000000000115 -998.122 -0.08477409442059344 0.0043268296234249826 1.304761840909339 0.0 0.0
2339.7256999998353 -0.6819999999999604 -998.133 -0.0905562992248592 0.003942065595616086 1.3051020687354193 0.0 0.0
2339.7262200000696 1.371000000000011 -998.129 -0.09631576927891008 0.004900625071404083 1.3054670341963799 0.0 0.0
2339.726739999838 -2.76299999999996 -998.1370000000001 -0.10202219158246412 0.004032118279716724 1.3058542822144288 0.0 0.0
2339.7272529997863 0.6219999999999004 -998.127 -0.10762251838502278 0.0014052070692965532 1.3062591263922376 0.0 0.0
2339.7277730000205 -1.1569999999999636 -998.1379999999999 -0.11323042343765194 0.00225929718371852 1.3066891085714751 0.0 0.0
2339.728287999984 -0.7430000000000492 -998.1320000000001 -0.11869434173892986 0.0032702159745883128 1.307131694747304 0.0 0.0
2339.7288159998134 -2.4089999999999945 -998.1370000000001 -0.12425677729113267 0.003720355502782045 1.3076062078233484 0.0 0.0
2339.7293309997767 -1.6779999999999573 -998.1379999999999 -0.1296297565915579 0.004217263064535574 1.3080874749238804 0.0 0.0
2339.729853000026 0.08900000000000574 -998.133 -0.13495726639155678 0.006130564853178526 1.3085868783528085 0.0 0.0
2339.73037499981 1.9139999999999713 -998.1229999999999 -0.1402696196914113 0.006021613644873845 1.3091068562120032 0.0 0.0
2339.730893999804 -3.0440000000000467 -998.1379999999999 -0.14546072099012944 0.006275853597207143 1.3096361583441407 0.0 0.0
2339.731409000233 3.4410000000000274 -998.1229999999999 -0.1505608832879932 0.006058070955220898 1.3101765639057361 0.0 0.0
2339.7319319997914 0.5580000000000584 -998.126 -0.155706515086285 0.0056474704762639605 1.310742228513476 0.0 0.0
2339.7324520000257 1.9240000000000368 -998.128 -0.1607081601332239 0.004468700208343952 1.3113117174850955 0.0 0.0
2339.7329870001413 1.9400000000000528 -998.122 -0.16586137018158617 0.0036851896699712783 1.311918700432228 0.0 0.0
2339.7334969998337 -0.41599999999997195 -998.1320000000001 -0.1706432459764638 0.003751748411098453 1.3125002923824116 0.0 0.0
2339.7340210000984 -3.674999999999984 -998.1419999999999 -0.17550848252212364 0.004341147327673239 1.3131101244258914 0.0 0.0
2339.734538000077 1.6249999999999876 -998.13 -0.1802676235667881 0.0033882616869428325 1.3137242986146374 0.0 0.0
2339.7350579998456 1.9940000000000513 -998.127 -0.18499645161116718 0.0026162155255729028 1.314351816388306 0.0 0.0
2339.7355689997785 -1.4539999999999553 -998.14 -0.18957371465412456 0.002829586842464926 1.3149755804519312 0.0 0.0
2339.7360820001923 0.7800000000000029 -998.131 -0.1941206646967966 0.003512919180261212 1.3156111238684547 0.0 0.0
2339.7366030002013 0.7729999999999126 -998.1379999999999 -0.19862972348911276 0.0035297542412447216 1.3162570081371892 0.0 0.0
2339.73712000018 1.2030000000000651 -998.127 -0.20310846928114523 0.003543692674007705 1.316913942582778 0.0 0.0
2339.737648999784 0.7950000000001012 -998.128 -0.2075947933232499 0.003887021034206989 1.3175873448241622 0.0 0.0
