time phi flux flux_err smear deltaT bg sin_phi cos_phi flux_cor_med flux_cor_sd planets_x_med planets_x_sd summodel_x_med summodel_x_sd
2274.0929023530334 123.09170447007261 -1.6890593409765176 0.22437335073856024 0.04764899221831737 0.13525763154029846 -0.0006300679914493561 0.042423851261246134 -0.8595350858212083 1.1923363072845987 0.04762946304558083 -2.2012148472215776 0.04887963302866587 -1.0085971212905953 0.043182652538175596
2274.0933887949213 120.52417586819513 -1.6819658663880244 0.22437241430138527 0.027434347878685796 0.0675274208188057 -0.0021571025041889707 0.07031880506120916 -0.7368584163655598 1.1906607280212467 0.046742116545685525 -2.200409591840702 0.04885716401905738 -1.0095412647804087 0.042108392877887126
2274.0938752368093 118.24302169268014 -1.101319185872418 0.2244284204869464 0.005022932371161816 -0.0675274208188057 -0.00901226241646627 0.09339037022665962 -0.6251008374496287 1.1888766886855884 0.04607367956131923 -2.1995682582190423 0.04883239749411548 -1.0106833705254152 0.04127602937624636
2274.0943616675213 116.14272726274783 -1.1476870313013032 0.22442304803840882 0.00040503143272115825 0.13525763154029846 -0.009283506561941416 0.11317534324240279 -0.5200631890902859 1.1865090019479543 0.04551044111981197 -2.198686504534253 0.04880533649441084 -1.0122269498505454 0.040550485075297245
2274.094848109875 114.3053745471542 -0.8874791226451961 0.2244501234604943 0.006020279353870436 0.0675274208188057 -0.010739557788200045 0.12931599691621912 -0.42660660062946665 1.1833206499227091 0.0450863692661892 -2.1977457527406763 0.04877598212624027 -1.0140954654949779 0.03997537224912944
2274.095334551763 112.6266184500679 -1.6723353329569646 0.22436669609970045 0.015610612283762593 0.0675274208188057 -0.008061945012560787 0.14309614731889056 -0.34002251304095205 1.1799683715935532 0.04476350221394144 -2.196766652056925 0.048744337407989086 -1.016320301326417 0.03951820624689508
2274.095820982009 111.05820714200274 -1.519635530186192 0.22438296539787053 0.01909989724012389 -0.2023794800043106 -0.008616369987074301 0.155125134191513 -0.25816675899861624 1.176548838671676 0.04455174084484212 -2.1957418148352836 0.04871040550820194 -1.018648481270827 0.039191846841882906
2274.096307423897 109.65773073471394 -1.144323633007871 0.2244192886423307 0.018568494445773305 -0.0675274208188057 -0.012967031987690456 0.16516840960763243 -0.18434067051219663 1.173243640007843 0.044437481404710925 -2.1946813329268844 0.048674187149723505 -1.0209445182427537 0.03898264266992204
2274.096793854609 108.34826923294247 -0.9470978781569439 0.22444302737355915 0.015011499976249154 0.0675274208188057 -0.011074348328740933 0.17395796060532356 -0.11472584007735909 1.1699728346891134 0.044373100629834746 -2.1935831670967243 0.04863568636788386 -1.0230227456480743 0.03884443975574345
2274.0972802969627 107.10856823483084 -1.3671568848030446 0.22440015165925645 0.007463193665900245 -0.0675274208188057 -0.008330527614553489 0.1817397440088838 -0.04833096899436468 1.1665898865596442 0.04436152305027768 -2.192420087718139 0.04859490368803122 -1.025226847234612 0.03877453301813091
