time phi flux flux_err smear deltaT bg sin_phi cos_phi flux_cor_med flux_cor_sd planets_x_med planets_x_sd
2347.983537239488 269.3904170761102 -0.8670417365558292 0.2238064879935331 0.01378366086359076 -1.2021831274032593 0.23976219095799967 -1.1666330182313702 1.0587546941604702 -0.5789179482883646 0.024924744186062473 0.0 0.0
2347.984023633413 267.726793304244 -0.35985492250412143 0.22385988462473125 0.004637443014767294 -1.252061128616333 0.23593961611311226 -1.1657305496906056 0.9867410668719165 -0.5731447982762274 0.02430429014493869 0.0 0.0
2347.984510039445 266.05863647949263 -0.5892587518625536 0.2238215146263185 -0.008123024276723881 -1.549625039100647 0.21443433297529374 -1.1637805039457136 0.9146145716588606 -0.5700349996764777 0.02378143221679065 0.0 0.0
2347.9849964450113 264.3820705851467 -0.6550719629261348 0.22379976947816765 -0.010318687082655228 -1.7966914176940918 0.1907776731648046 -1.1607678298807094 0.8422702383199913 -0.5671431314829359 0.023289608325963496 0.0 0.0
2347.9854828505777 262.6930691471439 -0.9786206085991012 0.22374042934634708 -0.009936065299773637 -1.2021831274032593 0.15133887123159206 -1.1566682061258626 0.7695997306178477 -0.5665425948965922 0.02288720411036646 0.0 0.0
2347.985969244968 260.98833458797026 -0.5870665452267776 0.22376985533901017 -0.009500953757942306 -1.549625039100647 0.12917153284292607 -1.1514504985971077 0.6965305260309572 -0.5634404725867752 0.02243598194956914 0.0 0.0
2347.986455650069 259.2629637584905 -0.4853623844580657 0.22376948071350392 -0.009055924470104967 -1.2021831274032593 0.11029983589272996 -1.1450696609408195 0.6229273378835104 -0.5597600066155999 0.021996857526376264 0.0 0.0
2347.9869420444593 257.5135688299897 0.24992447689253794 0.2238366923522533 -0.00907692328532298 -1.5990382432937622 0.08832754781378697 -1.1374760885817803 0.5487275269994261 -0.55653031785421 0.02159873617663491 0.0 0.0
2347.9874284504913 255.7354376698886 -0.5807632158528753 0.22373553061218635 -0.01054269878852953 -1.2021831274032593 0.07194209553474928 -1.1286053553703466 0.4738216953422665 -0.552399774238079 0.02120837573815227 0.0 0.0
2347.9879148560576 253.92434371844502 -0.681525242526515 0.22372156818922861 -0.012041347160639211 -1.5000568628311157 0.06702729512512982 -1.1183846564819455 0.3981329341247668 -0.5465485640716968 0.020808616063674096 0.0 0.0
2347.9884012499824 252.07550064020552 -0.374139482141711 0.22374745793965947 -0.012208485113432475 -1.5990382432937622 0.05427040759189696 -1.106727404670324 0.3215751045875602 -0.5418376329794655 0.020477665292925325 0.0 0.0
2347.9888876560144 250.18441282454296 -0.5422084860233767 0.2237173487218701 -0.011686498402990813 -1.2021831274032593 0.03489484043816334 -1.093537544039765 0.24409106594334384 -0.5380140608199808 0.0202103389314319 0.0 0.0
2347.989374061115 248.24605150065372 -0.51300382835473 0.22371825563943917 -0.01043563279561118 -1.549625039100647 0.03141142084003535 -1.0787039344462361 0.1656215875912959 -0.5317646389366968 0.01993567724181996 0.0 0.0
2347.9898604555055 246.25523661287025 -0.026883101276631294 0.22378076529317267 -0.0098112939017398 -1.6486064195632935 0.04630446345370027 -1.0621018899944175 0.08612492017900224 -0.5228030749824304 0.01966655126382353 0.0 0.0
2347.9903468615375 244.206175480414 0.30019520512203357 0.22381240246869324 -0.008200238147009625 -1.2021831274032593 0.039240215991629177 -1.043588422919058 0.005562795437461178 -0.5169650115125397 0.019518466525427693 0.0 0.0
2347.990833266638 242.0936137794688 -0.3472391981559353 0.2237252937085415 -0.0003616227259956401 -1.5000568628311157 0.012970120312360413 -1.023011892457364 -0.07604938778809812 -0.5139167085558123 0.019468312620550394 0.0 0.0
2347.9913196610287 239.91169425648877 -0.12064269203460043 0.22374632397311162 0.00811352639731824 -1.252061128616333 0.006712022592658744 -1.00020190117324 -0.15868270022884412 -0.5077961965416216 0.019435045255148494 0.0 0.0
2347.991806066595 237.65485689254183 -0.16279242672445626 0.2237321524812616 0.04478737945600011 -1.7966914176940918 -0.009063593312946872 -0.9749780414834717 -0.2422543077176839 -0.5031194350591048 0.01948107978498118 0.0 0.0
2347.9922924721614 235.31647283337497 -0.22975110714174019 0.22372522713569234 0.27016164903736833 -1.252061128616333 -0.008237478575114256 -0.9471349780518186 -0.3266718334224535 -0.4959042105529513 0.01957058453601429 0.0 0.0
